ID;Institution;academic_year;location;programme;study_mode;cohort;Would you like to give your institution any other feedback on the content and organisation of your course programme?;Would you like to give your institution any other feedback on the teachers on your course programme?;Would you like to give your institution any other feedback on support/mentoring
32;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;Kunt u het beleid over de beoordeling van [NAME] aanpassen? [].;Kunnen we alsjeblieft één vaste mentor []? De turnover is onacceptabel.;I really need a system to better track mentor availability and book timely slots.
33;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;The turnaround time for feedback is simply too slow for us to make timely improvements.;Could they please stabilize the teaching staff? The high turnover is seriously disrupting my whole experience.;Het contact met de begeleiders is [], [] beter afstemmen op de unieke studentbehoeften.
34;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Overall, the teaching style is engaging, but slowing down on the core concepts would really help.;[] we alleen maar geluisterd worden naar, zonder daadwerkelijke interactie of feedback.;De peer support sessies waren heel nuttig en hielpen mij om meer enthousiast te raken over [].
35;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;Er is meer [] nodig over de gewichten van de verschillende gedeelten [].;Honestly, the difficulty in securing a slot is a major time sink for students like me.;I found the tailored workshops on professional skills genuinely impactful.
36;2;2026/27;Venlo;Software Engineering;Part-time;Fourth-year;We need more clarity on how much emphasis should be placed on the practical versus theory.;[] begeleiders constant veranderen?;Het is moeilijk om te voelen dat de faculteit echt reageert op de zorgen van de studentenpopulatie.
37;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;Het is heel moeilijk om afspraken [], de docenten zijn bijna nooit bereikbaar.;It would be fantastic to have dedicated time for personalized academic support, not just group lectures.;I really appreciate the one-on-one sessions with the alumni network, it was very insightful.
38;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;I really need timely grades, [NAME], because this slow grading is causing me unnecessary stress.;Het is moeilijk om echt persoonlijke vragen te stellen bij een zo groot publiek.;[] we kunnen zien wanneer een mentor beschikbaar is.
39;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;De verwachtingen rondom het aantal te leveren [].;I wish the instructors offered more one-on-one sessions instead of just large lectures.;Het advies over cv-optimalisatie hielp me enorm [] sollicitaties.
40;1;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;The pace of feedback is really slow, which significantly delays my ability to progress.;[] was voor kritische vragen die niet meteen worden afgerond.;De psychologische hulp was echt waardevol, ik voelde me [].
41;1;2026/27;Eindhoven;Software Engineering;Full-time;First-year;[NAME] is erg deskundig, [] [] abstract [].;Ik waardeer de hulp enorm, [] zelf ook worstelen met de stof.;Het feedbackgesprek met de alumni was geweldig en gaf me veel inspiratie [].
42;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Kunnen we meer [] over hoe [] bepaald?;De communicatie [] is te traag, het belemmert ons studieproces enorm.;Een kleine erkenning van de inspanningen is [] mij gemotiveerd te houden.
43;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;Smith’s grading turnaround time is unacceptable and greatly undermines our ability to learn effectively.;The current setup lacks the intimacy needed for true academic mentorship.;The resources available for [] are helpful, although I wish they were more widely publicized.
44;1;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Communication from some lecturers is often unclear, making it hard to follow the course material.;I feel like the instructors just read slides and didn't engage us with practical examples.;Ik voelde me [] toen ik vragen stelde [] mentor, [].
45;1;2026/27;Eindhoven;HBO-ICT;Part-time;First-year;We struggle to get timely help because the teachers are rarely present outside of lectures.;Het is moeilijk om gemotiveerd te blijven als men zo lang niets hoort.;[] we vaker, misschien wekelijks, [] konden bespreken.
46;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;A little more dedicated time for group projects would significantly improve our understanding.;This slow pace of mentor responses seriously hampers our ability to progress effectively.;Having a centralized booking system for all available mentors would be super helpful.
47;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;I wish there was a more reliable system for accessing the professors outside of class time.;[] contact met ervaren mentoren die in de praktijk werken, dat zou geweldig zijn.;Ik hoop dat er meer informele bijeenkomsten zijn waar we casual kunnen netwerken met elkaar.
48;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;It feels like the faculty truly understands the cutting edge of this field.;[] gemist dat ik een slot [] door systeemfouten. [] moet beter.;Het beleid is goed, maar er is [] culturele competentie bij de docenten.
49;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;Was de beoordeling gebaseerd op inhoud of meer op de presentatiekwaliteit, dat is onduidelijk.;Kortom, meer connectiepunten met [] studeren completer.;[] [] opsomming te [].
50;1;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;Het is frustrerend dat we vaak moeten wachten op de verplichte online hand-outs.;Ik weet niet wat ik moet geloven, de tips van de docent []. regels in.;[] als meer docenten de nuances van verschillende culturen begrijpen.
51;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;The group discussions are excellent, making the complex material much easier to grasp overall.;De interactie was minimaal, en het leek meer een verplichte, [].;[] mentoren meer flexibele afspraken [].
52;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;[] we [], de theorie alleen volstaat niet.;De structuur van de mentorbegeleiding [], [] professionelere begeleiding.;Ik waardeerde de complimenten over [], [] me een extra boost.
53;2;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;De quizplatformen werken vaak slecht, [] heel erg frustrerend maakt.;The focus seems heavily weighted towards theory, neglecting the hands-on skill development we require.;Ik hoop dat jullie meer workshops over stressmanagement aanbieden, dat zou helpen.
54;1;2026/27;Tilburg;ICT & Business;Part-time;Second-year;We zouden meer [] in de feedback, het is nu vaak te vaag.;[] in plaats van deze grootschalige presentaties.;[] sessies over specifieke sectorvaardigheden, zoals data-analyse, [].
55;1;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;The quality of instruction makes me feel genuinely prepared for the demanding professional world.;De studentenmentoren zijn een pluspunt, [] [].;It would be great if there was a rotating pool of mentors so the load isn't always on the same people.
56;1;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;It would be greatly appreciated if the course acknowledged diverse sexual orientations more openly.;Ik denk dat er een manuele back-up optie zou helpen bij de boekingsproblemen.;Mijn mentor [], wat super was.
57;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;De docent [] dat ik moeite heb om alle informatie goed bij te houden.;Could you stabilize the mentor pool? We're already struggling with the curriculum itself.;De kans om van oudere studenten te leren was onbetaalbaar, [].
58;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Could the curriculum incorporate more voices from non-Western scholars for a better global view?;We hebben echt meer gepersonaliseerde aandacht nodig om het materiaal volledig te beheersen.;[] dat we [] check-ins doen in plaats van één grote sessie?
59;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;I feel like reaching the instructors is nearly impossible unless you show up at random times.;[] [], het was wat vlak.;Could the office provide a dedicated scheduling system to make it easier?
60;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;The commitment to high academic standards is genuinely commendable and helpful for us.;Het is moeilijk om te studeren als de antwoorden na weken komen, dit is [] probleem.;I appreciate the detailed advice regarding elective courses and potential research tracks.
61;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;De docenten lijken erg overbelast, waardoor feedback moeilijk te krijgen is.;Er is behoefte aan een dedicated online helpdesk die technische en emotionele ondersteuning biedt.;[] er []-doelen zijn voor elk vak.
62;1;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Het is moeilijk om alle modules te combineren met zo'n zware werklast. (It is difficult to combine all modules with such a heavy workload.);Het is moeilijk om feedback te geven, [].;Ik vond de peer mentoring superhandig, het was een geweldige manier om te leren van elkaar.
63;1;2026/27;Den Bosh;Artificial Intelligence;Part-time;Third-year;They rarely seem available for quick questions, making self-study feel isolating.;I wish the instructors could dedicate more focused time to addressing our unique struggles.;Ik hoop echt op meer [], de inconsistentie is lastig.
64;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Zelfs simpele vragen blijven dagen [] duidelijke reactie.;De begeleiding van de student mentoren was prima, maar een beetje meer structuur zou goed zijn.;[] over hoe we verschillende culturele perspectieven kunnen samenbrengen.
65;2;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;I was very impressed by how thoroughly the advanced topics were covered in the curriculum.;Helaas, [] crasht altijd als er veel studenten tegelijk proberen een slot te boeken.;De workshops over studievaardigheden waren zeer behulpzaam, ik [] sterker in [].
66;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;We need better turnaround time, [NAME]'s grading pace is seriously holding back our progress.;Extra modules over de nieuwste trends en carrièrepaden in ons vakgebied [].;The campus needs more accessible, low-stakes spaces for just relaxing and being present.
67;1;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;It’s getting ridiculous how long it takes [NAME] to return our evaluated papers.;Ik heb het gevoel dat de docenten de syllabus volgen, maar de studenten niet echt zien.;Het creëerde een geweldig gevoel van gemeenschap dat ik thuis mist.
68;1;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;I struggle to understand the weighting of different components in the final grading rubric.;[] academisch en meer praktisch toepasbaar was.;[] te [].
69;1;2026/27;Eindhoven;ICT & Business;Full-time;First-year;De handleidingen voor de nieuwe tools zijn verouderd en helpen nauwelijks bij de uitvoering.;Het constant wisselen van docenten [] betrokkenheid.;I wish there was a dedicated time slot just for quick, unscheduled questions.
70;2;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;[] gewichten per onderdeel? [] onzeker over de definitieve beoordeling.;Zouden de mentoren een duidelijke overzichtsessie willen houden om deze inconsistenties te verhelpen?;Please clarify the difference between constructive criticism and vague suggestions for improvement during review sessions.
71;1;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;[] er na de theorie meer case studies waren om mee te oefenen?;Could the institution please improve the booking platform? It frequently glitches during high-demand periods.;Ik hoop dat de school de verwachtingen van de mentoren wat [].
72;1;2026/27;Venlo;Cyber Security;Part-time;Fourth-year;I think the readings could benefit from including more non-Western philosophical perspectives.;Wachten op een reply van de begeleiders is [] probleem, we hebben snellere communicatie nodig.;Graag meer sessies over carrièreplanning, maar de studieadviezen waren al top.
73;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;The consistency of the provided technology support needs significant improvement, honestly.;Zonder twijfel de beste begeleiding, [].;I need clearer guidelines on how much self-directed study is actually required versus classroom work.
74;2;2026/27;Tilburg;ICT & Business;Full-time;Second-year;De uitleg was te [] aarzelden vaak, wat de leerervaring behoorlijk negatief maakte.;[] ingewikkelde academische onderwerpen behandelen?;[] te introduceren als back-up voor de mentor.
75;2;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;[], [] [].;I wish there were more personalized check-ins, the mentoring feels like a public address system.;[] tips, ik [] wat ik [] scriptie moet doen.
76;1;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;Het gevoel dat de ondersteunende digitale middelen onvolledig zijn, [].;I highly value the initiative the mentors take, they make learning feel less intimidating.;The personalized career guidance offered has given me clear next steps.
77;2;2026/27;Eindhoven;Cyber Security;Full-time;First-year;The effort to reach the teachers outside of class time is genuinely challenging right now.;Ze najaagt proactief ons op als er [], [] rust geeft.;I found the module on professional communication extremely helpful for my upcoming internship.
78;2;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;De diepgang van de stof die docent [NAME] behandelt, is echt indrukwekkend en heel relevant.;Please streamline the feedback process, [] of waiting time is just too much.;Ik vond het overzicht [] heel duidelijk en behapbaar.
79;1;2026/27;Den Bosh;ICT & Business;Full-time;Third-year;Could the institution organize designated times when teachers are reliably available to students?;Meer kleine sessies waarin we echt kunnen praten met de docent over ons specifieke traject.;Meer informele bijeenkomsten [] nog sterker maken.
80;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;Could you please improve the clarity of instructions? The feedback is often vague.;It's disappointing when the teacher's advice seems read from a manual rather than experience.;[] met [] adviesgesprek over [].
81;1;2026/27;Eindhoven;Software Engineering;Part-time;First-year;Kunnen we meer ondersteuning krijgen? De docenten lijken overbelast en bereikbaarheidsdiensten zijn minimaal.;We really need more consistent teaching staff, the turnover rate is a serious concern.;[] laagdrempelige spreekuren voor mentale gezondheid waren.
82;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;More structured support sessions, not just sporadic office [], would be beneficial.;Het is onacceptabel dat cruciale vragen dagenlang [].;Over het algemeen was de academische richting duidelijk, en de begeleiding voldeed [].
83;1;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;We really need more sessions to solidify the material and reduce the feeling of being rushed.;[] [].;Kunnen we meer concrete voorbeelden [] we op moeten letten in onze essays?
84;2;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;Het rooster en de hoeveelheid [], waardoor ik weinig tijd voor zelfstudie heb.;[] diepgang van één-op-één coaching, we hebben echt begeleiding nodig.;Could the advising incorporate more sensitivity regarding non-Western educational experiences?
85;1;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Seriously, we need more lectures to properly grasp all the theory covered in this programme.;The feedback provided about the teaching staff was somewhat generic and didn't feel personal.;[] helpen met meer workshops over stressmanagement en veerkracht voor studenten.
86;2;2026/27;Tilburg;Software Engineering;Full-time;Second-year;Ik kreeg te weinig begeleiding, en de docenten waren niet vaak aanwezig om vragen te beantwoorden.;Ik vond de hulp van mijn mentor nuttig, [] training nodig [].;Getting to talk with peers about study stress helped me feel less alone.
87;1;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;De communicatie van bepaalde sprekers is [], [].;They spoke in such academic terms that it was difficult to relate to our current needs.;[] overzicht [] die we [] moeten beheersen.
88;2;2026/27;Venlo;Artificial Intelligence;Full-time;Fourth-year;Ik waardeer de manier waarop de docenten de meest recente academische ontwikkelingen toelichten.;I feel like we are constantly playing catch-up because of the changing instructors, its exhausting.;It would really help if there was a centralized system for checking mentor availability.
89;2;2026/27;Eindhoven;ICT & Business;Full-time;First-year;De faculteit straalt een enorme expertise uit die de stof zeer begrijpelijk maakt.;Ik heb meer structurele ondersteuning nodig, want de responstijden zijn vaak onacceptabel traag.;I think bi-weekly check-ins would provide much-needed structure and continuous academic support.
90;1;2026/27;Tilburg;HBO-ICT;Part-time;Second-year;We need a more realistic schedule, the assignment load is simply unmanageable for most students.;Het is moeilijk om op de cursus te focussen als ik zo lang wacht op basisinformatie.;Ik heb het gevoel dat [] over studiemateriaal [].
91;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;It would be helpful if [NAME] could manage the grading load more efficiently, please.;The lack of quick feedback is hindering my ability to complete the module assignments on time.;We really need clearer guidelines on how often and how long check-ins should be.
92;1;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;Seriously, [NAME] needs to improve his feedback timeline, this constant delay is stressful.;[], [] conversation.;Could we have more student groups dedicated to specific cultural communities?
93;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;[] we een duidelijker schema []?;[] is echt goud waard [].;De beschikbaarheid van de mentoren lijkt soms wat beperkt te zijn.
94;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;The lack of representation for different abilities in professional examples is noticeable and concerning.;[] lessen over de 'soft skills' vereist in de moderne werkplek ontvangen.;Ik waardeer de focus op de soft skills, dat is cruciaal voor elke functie.
95;2;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;[] verrijking door de vakinhoud zeer waardevol en direct toepasbaar.;Sommige mentors lijken niet volledig op de hoogte van de actuele interne procedures van de school.;De aandacht en het complimentele feedback waren echt goud waard [].
96;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;De uitleg was te vaag, en ik moest drie e-mails sturen om het juiste antwoord te krijgen.;I really appreciate that the professors proactively offer extra resources and support.;The resources are good, but building a stronger community feel would be great.
97;1;2026/27;Eindhoven;Cyber Security;Full-time;First-year;[] meer aandacht komt voor de culturele [] die we bestuderen.;The current structure makes personalized help feel unattainable for students who need extra attention.;It would be helpful if we had more regular check-ins, maybe [] or so.
98;1;2026/27;Tilburg;Artificial Intelligence;Full-time;Second-year;Could we please get more hands-on practice sessions, the current amount is insufficient.;Honestly, the instability of the teaching staff is quite a major drawback right now.;[], [].
99;1;2026/27;Den Bosh;ICT & Business;Part-time;Third-year;De online platforms zijn echt frustrerend, de opnames werken vaak niet goed.;Seriously, the booking system crashes during [], so I almost missed my class.;[] per week kort spreken over []?
100;2;2026/27;Venlo;HBO-ICT;Full-time;Fourth-year;[] meer tijd vrijmaken voor studentenbegeleiding?;The pace of the course sometimes feels too fast, making deep understanding difficult to achieve.;[] groepsactiviteiten zouden helpen om de sociale druk en isolatie te verminderen.
101;2;2026/27;Eindhoven;Software Engineering;Full-time;First-year;Het rooster is echt te krap, we hebben gewoon meer tijd nodig om de stof goed te verwerken.;De mentoren zijn echt top, [] voordat we het probleem zien!;Maybe a mandatory quick check-in [] would really help me stay on track.
102;2;2026/27;Tilburg;Cyber Security;Full-time;Second-year;Het is lastig om te weten waar we precies op moeten letten bij het nakomen van de opdrachtvereisten.;De begeleiders waren soms te algemeen en gaven geen diepgaande inzichten.;Het creëren van meer gemengde groepen voor studie-uitwisseling zou de samenhang verbeteren.
103;2;2026/27;Den Bosh;Artificial Intelligence;Full-time;Third-year;[] verward over of de bronnenlijst een groter gewicht heeft dan de analyse.;[] touch, alsof we maar een nummer waren.;Meer gekoppeld worden aan andere [].
104;1;2026/27;Venlo;ICT & Business;Full-time;Fourth-year;The communication from some instructors is often unclear, making it hard to follow the material.;Sometimes the lessons felt very impersonal, like we were just numbers in a class roster.;Ik waardeer de tijd die besteed is [].
105;2;2026/27;Eindhoven;HBO-ICT;Full-time;First-year;Really disappointed with how slow [NAME] is grading, we need timely evaluations.;[] is. Een snellere reactie zou enorm helpen.;Het is fijn om te weten dat mijn inzet [], dat motiveert enorm.
106;1;2026/27;Tilburg;Software Engineering;Full-time;Second-year;Sometimes it feels too fast, slowing down the pace on complex mathematical derivations would be beneficial.;Geweldig dat we deze directe band hebben met de professionele wereld om ons heen.;Could we get clearer guidelines on who to contact and when, to avoid excessive frustration?
107;2;2026/27;Den Bosh;Cyber Security;Full-time;Third-year;De deadline voor projecten is echt overweldigend, ik heb meer tijd nodig om dit te verwerken.;[] docenten advies dat echt botst met [] richtlijnen van de faculteit.;Het netwerk van mede-studenten gaf me veel praktische tips die ik alleen niet had gevonden.
108;1;2026/27;Venlo;Artificial Intelligence;Part-time;Fourth-year;Het is onduidelijk wat de beoordelingscriteria [] essays, dat frustreert.;There seems to be an inconsistency in the practical knowledge shared by the various instructors.;[] workshops [] over [] communicatie en diversiteit.
109;1;2026/27;Eindhoven;ICT & Business;Full-time;First-year;[] docenten proactiever waren met [] updates.;Can the administration please ensure mentor continuity? Three people in [] is excessive.;Het advies over vakkenkeuze was precies wat ik nodig had om mijn studie te verdiepen.
110;1;2026/27;Tilburg;HBO-ICT;Full-time;Second-year;I wish there were more supplementary lectures to cover all the required depth.;The feedback is that the teaching style felt very impersonal and general.;[]-to-peer ondersteuning ten [].
111;2;2026/27;Den Bosh;Software Engineering;Full-time;Third-year;Smith's grading turnaround time is a major issue, we need clear deadlines for results.;Nog meer aandacht voor online studenten support zou enorm helpen, we voelen ons soms geïsoleerd.;It would be greatly appreciated if follow-up on submitted grievances was timely.
112;2;2026/27;Venlo;Cyber Security;Full-time;Fourth-year;[] veel informatie wordt gegeven [], en communicatie mist.;This slow response rate suggests mentors are overburdened or not prioritizing student needs.;They provided great insights into the required skills for the job market right now.
113;1;2026/27;Eindhoven;Artificial Intelligence;Full-time;First-year;Kunnen we meer [] over [] [NAME] feedback zo lang duurt?;The quality of mentorship really varies depending on which student I speak to.;Could we host guest speakers from different international backgrounds to enrich our learning?
114;1;2026/27;Tilburg;ICT & Business;Full-time;Second-year;Meer praktijkuren zouden echt helpen [].;De begeleiders zijn echt uitmuntend, [], fantastisch.;Ik voel me [], betere mentorenkoppeling zou echt helpen.
115;2;2026/27;Den Bosh;HBO-ICT;Full-time;Third-year;[] diverse auteurs uit de geschiedenis werden opgenomen in de lesmateriaal.;The delay in mentor responses makes it very difficult to keep up with my coursework.;It was really helpful connecting with people who understand the specific challenges here.
116;2;2026/27;Venlo;Software Engineering;Full-time;Fourth-year;The assignments really help, yet the theoretical explanations feel too abstract sometimes.;Het is onrealistisch om zo lang te moeten wachten op een antwoord van de begeleiders.;Het is lastig om [].
